
映像名称                       PID 会话名              会话#       内存使用 
ctfmon.exe                   11280 Console                    1     30,480 K
GoogleCrashHandler.exe       12204 Services                   0      1,392 K
svchost.exe                  12244 Console                    1     22,048 K
GoogleCrashHandler64.exe     12256 Services                   0      1,060 K
ChsIME.exe                   11872 Console                    1     40,308 K
StartMenuExperienceHost.e    11932 Console                    1     92,140 K
RuntimeBroker.exe            12416 Console                    1     26,312 K
SearchUI.exe                 12600 Console                    1    171,124 K
TSVNCache.exe                12624 Console                    1     68,724 K
RuntimeBroker.exe            12868 Console                    1     25,396 K
svchost.exe                  13248 Services                   0     20,108 K
svchost.exe                   5904 Services                   0     19,548 K
YourPhone.exe                12768 Console                    1     15,568 K
LockApp.exe                  13436 Console                    1     59,144 K
avpui.exe                    13504 Console                    1      3,208 K
RuntimeBroker.exe            13544 Console                    1     31,596 K
svchost.exe                  14076 Services                   0     11,160 K
ShellExperienceHost.exe      14436 Console                    1     62,460 K
RuntimeBroker.exe            14884 Console                    1     17,040 K
RuntimeBroker.exe             9492 Console                    1     18,644 K
RuntimeBroker.exe            14804 Console                    1     19,232 K
SecurityHealthSystray.exe     3584 Console                    1      9,176 K
SecurityHealthService.exe    10040 Services                   0     15,772 K
RtkAudUService64.exe         15128 Console                    1     10,740 K
WavesSvc64.exe               15632 Console                    1     22,888 K
pritray.exe                  16316 Console                    1      5,328 K
DesktopMgr64.exe             15408 Console                    1    142,904 K
svchost.exe                  15556 Services                   0      9,708 K
yundetectservice.exe         15800 Console                    1     12,720 K
wpscloudsvr.exe              15436 Console                    1     54,648 K
chrome.exe                   15476 Console                    1    265,080 K
chrome.exe                   12364 Console                    1      7,928 K
vmware-tray.exe              15700 Console                    1      8,248 K
SunloginClient.exe           16280 Console                    1     76,208 K
chrome.exe                   16232 Console                    1    241,800 K
chrome.exe                   16264 Console                    1     48,848 K
RadeonSoftware.exe           13096 Console                    1     59,516 K
chrome.exe                   15776 Console                    1     19,712 K
jusched.exe                  16680 Console                    1     16,020 K
chrome.exe                   16672 Console                    1     65,080 K
IAStorIcon.exe                3404 Console                    1     37,628 K
AUEPLauncher.exe              4524 Services                   0      7,120 K
AUEPMaster.exe                5028 Services                   0     27,404 K
ServiceShell.exe              5684 Services                   0    119,128 K
dllhost.exe                   8860 Services                   0     13,896 K
msdtc.exe                    18164 Services                   0     10,496 K
DeliveryService.exe          12428 Services                   0     42,644 K
svchost.exe                  15552 Services                   0     30,280 K
svchost.exe                   4520 Services                   0     12,168 K
